Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered
,Afghanistan,33,65,03/01/2020,1,0,0
,Albania,41.1533,20.1683,03/01/2020,0,0,0
,Algeria,28.0339,1.6596,03/01/2020,1,0,0
,Andorra,42.5063,1.5218,03/01/2020,0,0,0
,Angola,-11.2027,17.8739,03/01/2020,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,03/01/2020,0,0,0
,Argentina,-38.4161,-63.6167,03/01/2020,0,0,0
,Armenia,40.0691,45.0382,03/01/2020,1,0,0
Australian Capital Territory,Australia,-35.4735,149.0124,03/01/2020,0,0,0
New South Wales,Australia,-33.8688,151.2093,03/01/2020,6,0,4
Northern Territory,Australia,-12.4634,130.8456,03/01/2020,0,0,0
Queensland,Australia,-28.0167,153.4,03/01/2020,9,0,1
South Australia,Australia,-34.9285,138.6007,03/01/2020,3,0,2
Tasmania,Australia,-41.4545,145.9707,03/01/2020,0,0,0
Victoria,Australia,-37.8136,144.9631,03/01/2020,7,0,4
Western Australia,Australia,-31.9505,115.8605,03/01/2020,2,1,0
,Austria,47.5162,14.5501,03/01/2020,14,0,0
,Azerbaijan,40.1431,47.5769,03/01/2020,3,0,0
,Bahamas,25.0343,-77.3963,03/01/2020,0,0,0
,Bahrain,26.0275,50.55,03/01/2020,47,0,0
,Bangladesh,23.685,90.3563,03/01/2020,0,0,0
,Barbados,13.1939,-59.5432,03/01/2020,0,0,0
,Belarus,53.7098,27.9534,03/01/2020,1,0,0
,Belgium,50.8333,4,03/01/2020,2,0,1
,Benin,9.3077,2.3158,03/01/2020,0,0,0
,Bhutan,27.5142,90.4336,03/01/2020,0,0,0
,Bolivia,-16.2902,-63.5887,03/01/2020,0,0,0
,Bosnia and Herzegovina,43.9159,17.6791,03/01/2020,0,0,0
,Brazil,-14.235,-51.9253,03/01/2020,2,0,0
,Brunei,4.5353,114.7277,03/01/2020,0,0,0
,Bulgaria,42.7339,25.4858,03/01/2020,0,0,0
,Burkina Faso,12.2383,-1.5616,03/01/2020,0,0,0
,Cabo Verde,16.5388,-23.0418,03/01/2020,0,0,0
,Cambodia,11.55,104.9167,03/01/2020,1,0,1
